date,priceUsd
2016-01-02,433.1222411271306
2016-01-03,429.2713866974341
2016-01-04,431.69716121113464
2016-01-05,432.4585708749233
2016-01-06,430.48064143328
2016-01-07,448.74204356709134
2016-01-08,455.1019059337557
2016-01-09,450.14298078382575
2016-01-10,444.89015642385374
2016-01-11,447.58769062864025
2016-01-12,446.4601302401056
2016-01-13,429.8907523967701
2016-01-14,431.2010558380383
2016-01-15,402.7177183801935
2016-01-16,371.3723358473346
2016-01-17,384.77301159074335
2016-01-18,382.6104693416775
2016-01-19,383.0442969501736
2016-01-20,392.7337592735178
2016-01-21,413.9934660487714
2016-01-22,393.6128426391712
2016-01-23,389.52111444044624
2016-01-24,396.5915231913482
2016-01-25,396.3347313580605
2016-01-26,393.47644604042074
2016-01-27,394.4163516951433
2016-01-28,383.715847366094
2016-01-29,375.97116601217584
2016-01-30,378.9560169520108
2016-01-31,378.3888577365606
2016-02-01,373.10451985166736
2016-02-02,374.06235836667753
2016-02-03,371.9048078442194
2016-02-04,378.1752935421169
2016-02-05,387.32151747075994
2016-02-06,376.58084152258454
2016-02-07,376.35238822791047
2016-02-08,375.8627749688543
2016-02-09,373.6283693107975
2016-02-10,378.1182978056072
2016-02-11,377.7966197625248
2016-02-12,381.56898667465697
2016-02-13,388.836782401573
2016-02-14,399.11238580275847
2016-02-15,403.0035798429397
2016-02-16,403.52941538871835
2016-02-17,414.07301330900685
2016-02-18,419.6922844253437
2016-02-19,419.33096437141177
2016-02-20,430.0783278751497
2016-02-21,438.36711339155494
2016-02-22,436.2268061591773
2016-02-23,427.36340917300726
2016-02-24,421.2689692930958
2016-02-25,423.11603578160526
2016-02-26,424.1268123830937
2016-02-27,432.34574462097765
2016-02-28,429.4631124396389
2016-02-29,436.4681327163639
2016-03-01,434.1581468220105
2016-03-02,431.3749962762156
2016-03-03,420.2924785186001
2016-03-04,418.8883794020656
2016-03-05,402.02274646236975
2016-03-06,403.3938148610735
2016-03-07,408.7155313391392
2016-03-08,412.08022273957096
2016-03-09,411.344994544894
2016-03-10,413.4874098680329
2016-03-11,419.1647375414293
2016-03-12,413.08781146789863
2016-03-13,412.6868144869241
2016-03-14,413.6630494797032
2016-03-15,415.473207971546
2016-03-16,415.2777830653061
2016-03-17,418.067081904442
2016-03-18,412.8122194179359
2016-03-19,408.03761954301126
2016-03-20,411.12967142045824
2016-03-21,409.9617123951141
2016-03-22,415.24833752671015
2016-03-23,416.77224043192314
2016-03-24,415.81917160091587
2016-03-25,415.0099442921818
2016-03-26,416.03194853469046
2016-03-27,419.6703082706466
2016-03-28,423.17524384349406
2016-03-29,418.14373903678967
2016-03-30,413.09233345311674
2016-03-31,415.3015666716922
2016-04-01,415.56152344162257
2016-04-02,418.48929550665457
2016-04-03,418.2715616121152
2016-04-04,418.3328726048345
2016-04-05,420.8879456281147
2016-04-06,421.35893023797126
2016-04-07,420.32512490483646
2016-04-08,420.66623567666807
2016-04-09,417.06941019227
2016-04-10,419.7988349380462
2016-04-11,420.9208385411132
2016-04-12,424.3958886543245
2016-04-13,424.38506835441194
2016-04-14,423.9913020732405
2016-04-15,427.2480647252648
2016-04-16,430.679600389201
2016-04-17,429.24603731212096
2016-04-18,428.1297914431236
2016-04-19,429.5555536317687
2016-04-20,437.6341769290798
2016-04-21,444.06157849746415
2016-04-22,446.26063906176176
2016-04-23,447.03597700867033
2016-04-24,454.2005929374002
2016-04-25,459.55637987544566
2016-04-26,464.9672748014117
2016-04-27,459.8020809024388
2016-04-28,444.6750411393114
2016-04-29,450.4936705798781
2016-04-30,452.856675437534
2016-05-01,451.99482264208126
2016-05-02,446.7750206647007
2016-05-03,447.1446747578372
2016-05-04,447.95501169887456
2016-05-05,447.60392072246833
2016-05-06,452.3900638321692
2016-05-07,458.6269327336724
2016-05-08,458.0271113682581
2016-05-09,459.03505905630817
2016-05-10,455.80665255604794
2016-05-11,453.5633253566701
2016-05-12,451.46938416249856
2016-05-13,454.7701801627585
2016-05-14,456.04129043931897
2016-05-15,457.7562833409642
2016-05-16,456.9430833834495
2016-05-17,454.14299651893174
2016-05-18,454.919925212847
2016-05-19,449.6560262057798
2016-05-20,441.5854018189836
2016-05-21,443.0467248892556
2016-05-22,442.08699784580546
2016-05-23,442.11828403999033
2016-05-24,445.64959451705533
2016-05-25,448.75276201301375
2016-05-26,451.1881673947325
2016-05-27,470.7757903763236
2016-05-28,496.50416913994655
2016-05-29,523.7149793878439
2016-05-30,531.8004473846544
2016-05-31,533.8656422350883
2016-06-01,531.855019042831
2016-06-02,534.673868396329
2016-06-03,553.0333900236197
2016-06-04,572.7280887436215
2016-06-05,574.2643873236088
2016-06-06,580.4241290231803
2016-06-07,580.394986497504
2016-06-08,576.1502099280167
2016-06-09,575.6562642299939
2016-06-10,575.2406500793593
2016-06-11,583.1195061311195
2016-06-12,638.2139210615545
2016-06-13,686.9805904969686
2016-06-14,685.3309498491295
2016-06-15,682.7356027063449
2016-06-16,737.9980180623484
2016-06-17,747.4894416592415
2016-06-18,750.4465847927686
2016-06-19,753.8866607537328
2016-06-20,746.3719120581391
2016-06-21,679.9192045923093
2016-06-22,651.1883026766685
2016-06-23,591.6568616846082
2016-06-24,655.1823317088168
2016-06-25,671.3522764655532
2016-06-26,641.4925509647892
2016-06-27,639.1154980950269
2016-06-28,647.3746895967314
2016-06-29,633.5777643291839
2016-06-30,652.1013979617603
2016-07-01,675.1514741986025
2016-07-02,685.2843531525738
2016-07-03,674.654460990926
2016-07-04,668.920139261455
2016-07-05,670.1876883433558
2016-07-06,671.6514803656457
2016-07-07,641.1453563413255
2016-07-08,646.0783722109932
2016-07-09,649.965004485248
2016-07-10,645.3374937680402
2016-07-11,647.4477290675194
2016-07-12,656.5221706626988
2016-07-13,662.8925478664349
2016-07-14,656.8746490246467
2016-07-15,662.496525850265
2016-07-16,662.9047577387319
2016-07-17,669.4186797242953
2016-07-18,675.2225859473269
2016-07-19,669.8238130836639
2016-07-20,667.9960711759477
2016-07-21,662.8333801812585
2016-07-22,659.7105583436888
2016-07-23,654.3072209835447
2016-07-24,656.8431119423086
2016-07-25,655.9592865125735
2016-07-26,652.2344228827354
2016-07-27,653.3833786150182
2016-07-28,654.9924692265846
2016-07-29,655.2767731244181
2016-07-30,655.2021646633359
2016-07-31,635.9202402351098
2016-08-01,619.9776075037572
2016-08-02,592.207771211224
2016-08-03,551.5514171277676
2016-08-04,576.1178608266094
2016-08-05,575.6203358297233
2016-08-06,577.5380625501307
2016-08-07,590.7519676168779
2016-08-08,590.2448199696832
2016-08-09,586.6932769289182
2016-08-10,590.5602204983189
2016-08-11,591.7145142481027
2016-08-12,586.5473570043445
2016-08-13,586.1167196079117
2016-08-14,575.61284129858
2016-08-15,568.2787193775789
2016-08-16,571.2766898315568
